datetime,basin_id,Year,Month,Day,qcfs,flag
1981-03-30,RC13172117,1981,3,30,0.0,si
1981-03-31,RC13172117,1981,3,31,0.0,si
1981-04-01,RC13172117,1981,4,1,0.0,si
1981-04-02,RC13172117,1981,4,2,0.0,si
1981-04-03,RC13172117,1981,4,3,0.0,si
1981-04-04,RC13172117,1981,4,4,0.0,si
1981-04-05,RC13172117,1981,4,5,0.0,si
1981-04-06,RC13172117,1981,4,6,0.0,si
1981-04-07,RC13172117,1981,4,7,0.0,si
1981-04-08,RC13172117,1981,4,8,0.0,si
1981-04-09,RC13172117,1981,4,9,0.0,si
1981-04-10,RC13172117,1981,4,10,0.0,si
1981-04-11,RC13172117,1981,4,11,0.0,si
1981-04-12,RC13172117,1981,4,12,0.0,si
1981-04-13,RC13172117,1981,4,13,0.0,si
1981-04-14,RC13172117,1981,4,14,0.0,si
1981-04-15,RC13172117,1981,4,15,0.0,si
1981-04-16,RC13172117,1981,4,16,0.0,si
1981-04-17,RC13172117,1981,4,17,0.0,si
1981-04-18,RC13172117,1981,4,18,0.0,si
1981-04-19,RC13172117,1981,4,19,0.0,si
1981-04-20,RC13172117,1981,4,20,0.00124222008737075,si
1981-04-21,RC13172117,1981,4,21,0.0018636362359328335,si
1981-04-22,RC13172117,1981,4,22,0.00014380940126460832,si
1981-04-23,RC13172117,1981,4,23,0.0,si
1981-04-24,RC13172117,1981,4,24,0.0,si
1981-04-25,RC13172117,1981,4,25,0.0,si
1981-04-26,RC13172117,1981,4,26,0.0,si
1981-04-27,RC13172117,1981,4,27,0.0,si
1981-04-28,RC13172117,1981,4,28,0.0,si
1981-04-29,RC13172117,1981,4,29,0.0,si
1981-04-30,RC13172117,1981,4,30,0.0,si
1981-05-01,RC13172117,1981,5,1,0.0,si
1981-05-02,RC13172117,1981,5,2,0.0,si
1981-05-03,RC13172117,1981,5,3,0.0,si
1981-05-04,RC13172117,1981,5,4,0.0,si
1981-05-05,RC13172117,1981,5,5,0.0,si
1981-05-06,RC13172117,1981,5,6,0.0,si
1981-05-07,RC13172117,1981,5,7,0.0,si
1981-05-08,RC13172117,1981,5,8,0.0,si
1981-05-09,RC13172117,1981,5,9,0.0,si
1981-05-10,RC13172117,1981,5,10,0.0,si
1981-05-11,RC13172117,1981,5,11,0.0,si
1981-05-12,RC13172117,1981,5,12,0.0,si
1981-05-13,RC13172117,1981,5,13,0.0,si
1981-05-14,RC13172117,1981,5,14,0.0,si
1981-05-15,RC13172117,1981,5,15,0.0,si
1981-05-16,RC13172117,1981,5,16,0.0,si
1981-05-17,RC13172117,1981,5,17,0.0,si
1981-05-18,RC13172117,1981,5,18,0.0,si
1981-05-19,RC13172117,1981,5,19,0.0,si
1981-05-20,RC13172117,1981,5,20,0.0,si
1981-05-21,RC13172117,1981,5,21,0.0,si
1981-05-22,RC13172117,1981,5,22,0.0,si
1981-05-23,RC13172117,1981,5,23,0.0,si
1981-05-24,RC13172117,1981,5,24,0.0,si
1981-05-25,RC13172117,1981,5,25,0.0,si
1981-05-26,RC13172117,1981,5,26,0.0,si
1981-05-27,RC13172117,1981,5,27,0.0,si
1981-05-28,RC13172117,1981,5,28,0.0,si
1981-05-29,RC13172117,1981,5,29,0.0,si
1981-05-30,RC13172117,1981,5,30,0.0,si
1981-05-31,RC13172117,1981,5,31,0.0,si
1981-06-01,RC13172117,1981,6,1,0.0,si
1981-06-02,RC13172117,1981,6,2,0.0,si
1981-06-03,RC13172117,1981,6,3,0.0,si
1981-06-04,RC13172117,1981,6,4,0.0,si
1981-06-05,RC13172117,1981,6,5,0.0,si
1981-06-06,RC13172117,1981,6,6,0.0,si
1981-06-07,RC13172117,1981,6,7,0.0,si
1981-06-08,RC13172117,1981,6,8,0.0,si
